ID,kmeans_cluster2,kmeans_cluster3,kmeans_cluster4,kmeans_cluster5,kmeans_cluster6,kmeans_cluster7,kmeans_cluster8,kmeans_cluster9,kmeans_cluster10
964,1,2,1,3,2,6,7,5,3
965,1,0,3,4,1,2,6,7,0
967,1,0,3,4,1,0,1,0,1
968,0,1,0,0,4,1,4,1,2
970,1,0,3,4,1,0,1,0,1
973,1,0,3,4,1,0,1,0,1
974,0,1,0,0,4,1,4,1,2
976,1,0,3,2,1,0,1,0,8
977,1,2,1,3,2,6,7,5,3
978,1,0,3,4,1,2,6,7,0
979,0,1,0,0,4,1,4,1,2
981,1,0,3,4,1,0,1,0,1
984,1,0,3,4,1,0,1,0,1
986,1,0,3,4,1,0,1,0,1
989,0,1,0,0,4,1,4,1,2
990,0,1,0,0,0,1,2,2,7
993,1,0,3,4,1,0,1,8,9
994,1,0,3,4,1,0,1,0,1
997,1,0,3,4,1,0,1,8,9
999,0,1,0,0,0,1,2,2,7
1000,0,1,0,0,4,1,4,1,2
1003,0,1,0,0,4,1,4,1,2
1006,1,0,2,1,1,5,0,6,6
1007,1,0,3,4,1,0,1,0,1
1008,0,1,2,1,0,2,2,7,7
1009,0,1,0,0,4,1,4,1,2
1017,1,0,3,4,1,0,1,8,9
1018,0,1,0,0,0,1,2,2,7
1019,0,1,0,0,0,1,2,2,7
1020,1,0,3,4,1,0,1,0,1
1021,1,0,3,4,1,0,1,0,1
1027,1,0,3,4,0,2,6,7,0
1030,1,0,3,2,1,0,1,0,8
1031,0,1,0,0,4,1,4,1,2
1033,1,0,3,4,1,0,1,0,1
1035,0,1,0,0,0,1,2,2,7
1038,1,2,1,3,2,6,7,5,3
1040,1,0,3,4,1,2,6,7,0
1041,0,1,0,0,4,1,4,1,2
1043,1,0,3,4,1,0,1,0,1
1044,1,0,3,4,1,0,1,0,1
1047,0,1,0,0,4,1,4,1,2
1048,1,0,3,4,1,2,6,7,0
1049,0,1,0,0,4,1,4,1,2
1051,0,1,0,0,4,1,4,1,2
1053,1,0,3,4,1,0,1,0,1
1054,1,0,2,1,5,3,5,4,5
1056,1,0,3,4,1,0,1,0,1
1059,1,0,3,4,1,0,1,0,1
1061,1,0,3,4,1,0,1,8,9
1069,1,0,3,4,1,0,1,8,9
1071,1,0,3,4,1,0,1,0,1
1073,1,2,1,3,2,6,7,5,3
1074,1,0,2,1,5,3,5,4,5
1075,1,2,1,3,2,6,7,5,3
1076,0,1,0,0,4,1,4,1,2
1080,1,0,2,1,5,3,5,4,5
1083,0,1,0,0,4,1,4,1,2
1084,1,0,3,4,0,2,6,7,0
1085,1,0,3,4,1,0,1,8,9
1086,0,1,0,0,0,1,2,2,7
1087,1,0,2,1,5,3,5,4,5
1088,1,0,3,4,1,0,1,0,1
1089,1,0,3,4,1,0,1,8,9
1090,1,0,3,4,1,0,1,0,1
1091,0,1,0,0,4,1,4,1,2
1092,1,0,3,4,1,0,1,8,9
1095,1,0,3,4,1,0,1,0,1
1096,1,0,3,4,1,0,1,0,1
1097,1,0,3,4,1,0,1,0,1
1098,1,0,3,2,1,0,1,0,8
1099,0,1,0,0,4,1,4,1,2
1100,0,1,0,0,0,1,2,2,7
1101,1,0,3,4,1,0,1,0,1
1104,0,1,0,0,4,1,4,1,2
1105,1,0,3,4,1,0,1,0,1
1108,1,0,3,2,1,0,1,0,8
1109,1,0,3,4,1,2,6,7,0
1110,1,0,3,2,3,4,3,3,8
1111,1,0,3,4,1,0,1,0,1
1115,0,1,0,0,0,1,2,2,7
1117,1,0,3,4,1,0,1,0,1
1119,0,1,0,0,0,1,2,2,7
1122,1,0,3,4,1,0,1,0,1
1123,1,0,3,4,1,0,1,0,1
1124,1,0,3,4,1,0,1,0,1
1125,1,0,3,4,1,0,1,0,1
1126,1,0,3,2,1,0,1,8,8
1127,1,0,3,4,1,0,1,8,9
1129,1,0,3,4,1,0,1,8,9
1131,1,2,1,3,3,4,3,3,4
1133,0,1,0,0,4,1,4,1,2
1134,0,1,0,0,4,1,4,1,2
1136,0,1,0,0,4,1,4,1,2
1137,1,0,3,4,1,0,1,0,1
1140,0,1,0,0,4,1,4,1,2
1142,0,1,0,0,4,1,4,1,2
1144,1,0,2,1,1,5,0,6,6
1145,1,0,3,4,1,0,1,0,1
1147,1,0,3,4,0,2,6,7,0
1150,1,0,2,1,1,5,0,6,6
1154,1,0,3,4,1,0,1,0,1
1156,0,1,0,0,4,1,4,1,2
1158,1,0,3,4,1,0,1,0,1
1159,1,0,3,4,1,0,1,0,1
1163,1,0,3,2,1,0,1,0,8
1165,1,0,3,4,1,0,1,0,1
1166,1,0,3,4,1,0,1,8,9
1167,1,0,3,2,1,0,1,8,8
1170,0,1,0,0,4,1,4,1,2
1171,1,0,2,1,5,3,5,4,5
1172,1,0,3,4,1,0,1,0,1
1173,1,0,3,4,1,0,1,0,1
1175,1,0,2,1,5,3,5,4,5
1179,0,1,0,0,4,1,4,1,2
1183,0,1,0,0,4,1,4,1,2
1184,1,0,3,4,1,0,1,0,1
1186,1,0,3,4,1,0,1,0,1
1187,1,0,3,4,1,0,1,0,1
1188,1,0,3,4,1,0,1,8,9
1189,1,2,1,3,2,6,7,5,3
1191,1,0,3,2,1,0,1,0,8
1192,1,0,3,4,1,0,1,0,1
1193,0,1,0,0,4,1,4,1,2
1195,1,0,3,4,1,0,1,0,1
1197,1,2,1,3,3,4,3,3,4
1198,0,1,0,0,4,1,4,1,2
1203,0,1,0,0,4,1,4,1,2
1204,0,1,0,0,4,1,4,1,2
1205,0,1,0,0,0,1,2,2,7
1209,1,0,3,4,1,0,1,0,1
1210,0,1,0,0,4,1,4,1,2
1211,1,0,3,4,1,0,1,0,1
1213,0,1,0,0,4,1,4,1,2
1214,1,2,1,3,2,6,7,5,3
1215,1,0,3,4,1,0,1,0,1
1217,1,0,3,4,1,0,1,0,1
1218,1,0,3,2,1,0,1,0,8
1220,1,0,2,1,5,3,5,4,5
1223,1,0,3,4,1,0,1,0,1
1224,1,1,0,0,4,1,4,1,2
1226,0,1,0,0,4,1,4,1,2
1228,1,0,3,4,1,2,6,7,0
1229,0,1,0,0,4,1,4,1,2
1242,1,0,3,4,1,0,1,0,1
1243,1,0,3,4,1,0,1,0,1
1246,1,0,3,4,1,0,1,0,1
1248,1,0,3,4,1,0,1,0,1
1249,1,0,3,4,1,0,1,0,1
1252,0,1,0,0,4,1,4,1,2
1253,1,0,3,4,1,0,1,0,1
1254,1,0,3,2,1,0,1,0,8
1255,1,0,3,4,1,0,1,0,1
1256,0,1,0,0,4,1,4,1,2
1258,1,0,3,4,1,0,1,0,1
1260,1,2,1,3,3,4,3,3,4
1261,1,0,2,1,5,3,5,4,5
1262,1,0,3,4,1,0,1,0,1
1263,1,0,3,4,1,0,1,0,1
1264,0,1,0,0,4,1,4,1,2
1265,1,0,3,2,1,0,1,0,8
1269,0,1,0,0,0,1,2,2,7
1271,1,0,3,4,1,0,1,0,1
1274,0,1,0,0,0,1,2,2,7
1275,1,0,3,2,1,0,1,0,8
1277,1,0,3,4,1,2,6,7,0
1280,1,2,1,3,2,6,7,5,3
1281,0,1,0,0,4,1,4,1,2
1282,0,1,0,0,4,1,4,1,2
1285,1,0,3,4,1,0,1,0,1
1287,1,0,3,4,1,0,1,0,1
1288,0,1,0,0,4,1,4,1,2
1291,1,0,3,4,1,0,1,0,1
1295,1,0,3,4,1,0,1,0,1
1297,1,0,3,4,1,2,6,7,0
1300,1,0,3,4,1,0,1,0,1
1302,1,0,3,4,0,2,6,7,0
1303,1,0,3,4,1,0,1,0,1
1305,0,1,0,0,4,1,4,1,2
1307,1,0,3,4,1,2,6,7,0
1309,1,0,3,4,1,0,1,0,1
1313,1,0,3,4,1,2,6,7,0
1314,0,1,0,0,4,1,4,1,2
1316,1,0,3,4,1,0,1,8,9
1317,1,0,3,2,2,6,7,5,8
1321,0,1,0,0,4,1,4,1,2
1322,1,0,3,4,1,0,1,0,1
1327,0,1,0,0,0,1,2,2,7
1328,1,0,3,4,1,0,1,0,1
1330,1,0,3,4,1,0,1,0,1
1333,1,0,2,1,1,5,0,6,6
1334,0,1,0,0,4,1,4,1,2
1337,1,2,1,3,2,6,7,5,3
1339,1,0,3,2,1,0,1,0,8
1341,1,0,3,4,1,0,1,8,9
1343,1,0,3,4,1,0,1,0,1
1344,1,0,3,4,1,0,1,0,1
1346,1,0,3,4,1,0,1,8,9
1348,0,1,0,0,4,1,4,1,2
1352,1,0,3,4,1,0,1,8,9
1353,0,1,0,0,4,1,4,1,2
1357,1,0,3,4,1,0,1,0,1
1358,1,0,3,4,1,0,1,0,1
