# kNN_Marios_1 NN_Marios_1
1.470000000000000126e-02 1.696727362461387945e-02
1.060000000000000352e-02 1.269858056679367894e-02
9.600000000000000894e-03 1.376825750805437711e-02
1.072000000000000453e-01 9.171576566994189827e-02
5.560000000000002440e-02 4.701494032517074956e-02
5.200000000000001496e-03 2.312926168247932918e-08
1.600000000000000727e-03 8.014613948762417880e-03
7.900000000000000772e-03 1.697031813673675199e-02
2.100000000000000477e-02 3.542639534920453970e-02
3.200000000000001454e-03 5.538928550668060884e-03
6.400000000000002909e-03 1.043156609870493461e-02
3.260000000000001091e-02 8.228106414899228477e-03
2.541999999999999815e-01 1.305475096404552227e-01
1.600000000000000380e-02 1.588263873942196563e-02
4.200000000000000608e-03 6.374855395406485783e-03
2.900000000000001101e-03 7.126368172466754532e-03
2.010000000000000328e-02 2.532012522220612044e-02
1.250000000000000590e-02 8.160671661607922511e-03
5.400000000000000286e-03 6.233341419138014108e-03
4.600000000000001657e-03 6.337667920554012908e-06
7.700000000000002849e-03 1.870150376111268803e-02
2.050000000000000433e-02 1.699647921137511369e-02
3.950000000000000733e-02 4.137812580913304700e-02
1.790000000000000618e-02 1.383699232712387941e-02
1.749999999999999889e-01 1.211568265408277806e-01
1.790999999999999814e-01 1.180828861147165398e-01
1.590000000000000094e-02 2.370325399562716456e-02
9.700000000000003758e-03 2.084096542559564155e-02
4.900000000000000709e-03 3.807037692167796698e-03
2.670000000000001192e-02 1.936554274521768218e-02
3.600000000000001636e-03 7.434679972939192347e-03
1.510000000000000231e-02 1.541353821754455275e-02
6.650000000000003131e-02 4.044210428401129147e-03
4.130000000000001031e-02 2.733625154942274232e-02
1.950000000000000344e-02 2.372480683028697912e-02
2.030000000000000554e-02 1.689694030210375786e-02
8.100000000000001296e-03 2.072949687018990281e-02
1.310000000000000574e-02 7.638088170669411672e-04
4.040000000000000535e-02 1.809979628771543614e-02
1.120000000000000509e-02 1.735403775237500876e-02
6.400000000000002909e-03 8.974180873483417545e-03
5.200000000000001496e-03 1.004654901102185194e-02
6.940000000000003111e-02 3.767156044134117496e-05
1.950000000000000344e-02 2.713845290243625460e-02
1.520000000000000517e-02 3.201642211526632004e-02
4.500000000000002262e-03 6.693491856567561002e-03
1.880000000000000421e-02 2.516525524290640627e-07
1.780000000000000332e-02 3.013218868523835983e-02
1.070000000000000291e-02 3.814272303134202957e-02
4.100000000000001213e-03 1.047525552428041297e-04
3.000000000000001363e-03 1.596660022030249658e-04
7.799999999999999642e-03 7.937856703065333461e-03
1.180000000000000493e-02 1.359344628639518916e-02
4.000000000000000777e-02 2.353887755423784631e-02
1.990000000000000449e-02 1.940515679307281902e-02
1.910000000000000239e-02 2.314220143482088876e-02
1.798000000000000154e-01 1.178610687702894150e-01
1.430000000000000368e-02 1.286509301513433234e-02
1.000000000000000368e-02 9.873346583917735203e-03
3.870000000000000523e-02 3.854501090943812658e-02
2.360000000000000292e-02 2.116622718982398912e-02
1.910000000000000239e-02 3.017133284360170101e-02
9.500000000000001499e-03 6.104123041732236951e-03
3.290000000000001257e-02 2.487966405227779940e-02
3.500000000000000940e-03 1.816155279863451575e-05
1.590000000000000441e-02 3.891400814056396318e-02
6.600000000000003433e-03 1.747431242838502069e-02
2.710000000000000603e-02 3.094739820808172295e-02
2.310000000000000941e-02 2.343935221433639943e-02
3.800000000000001293e-02 3.381682610139251366e-02
9.700000000000002023e-03 1.058004273101687161e-02
1.409000000000000252e-01 1.085960602015257070e-01
1.690000000000000113e-01 1.040806338191032632e-01
7.700000000000002849e-03 3.566830534255132322e-03
3.300000000000001717e-03 8.973244214430450838e-03
8.700000000000002870e-03 1.543741086497902801e-02
3.270000000000001378e-02 2.052231478504836643e-02
1.313999999999999890e-01 1.031028173118829494e-01
2.176000000000000156e-01 1.220445121079683365e-01
2.230000000000000732e-02 2.264842195436358660e-02
2.380000000000000865e-02 2.602538271807133818e-02
1.800000000000000211e-02 7.874964243965221211e-03
1.890000000000000360e-02 8.986472189426424756e-03
1.257000000000000062e-01 8.771811887621880355e-02
9.700000000000003758e-03 1.176315923221409390e-02
1.010000000000000307e-02 7.891591615043580185e-03
1.318999999999999895e-01 5.971628822386265689e-02
3.500000000000001808e-03 1.166012606554432240e-03
8.000000000000003636e-03 8.493001256138086458e-03
8.800000000000004000e-03 1.244762824848294133e-02
4.600000000000001657e-03 8.592197448015212805e-03
1.310000000000000053e-02 1.728021183051168738e-02
1.380000000000000150e-02 1.983945257030427650e-02
5.200000000000001496e-03 6.101374812424181435e-03
1.360000000000000445e-02 1.762684875167905979e-02
1.664000000000000201e-01 1.023354276269674151e-01
3.250000000000001499e-02 2.782219983637333055e-02
9.700000000000002023e-03 2.791044572368264060e-02
1.530000000000000457e-02 1.764287577010691110e-02
1.510000000000000231e-02 7.149449326097965900e-03
1.090000000000000344e-02 9.484429396688937725e-03
3.170000000000000595e-02 3.764748781919478871e-02
9.300000000000002709e-03 7.746761348098518338e-03
9.490000000000003988e-02 9.053934656083582888e-02
3.420000000000000123e-02 3.195398852229118514e-02
7.150000000000002187e-02 5.196887355297803712e-02
8.200000000000002426e-03 1.097466047853231687e-02
2.180000000000000687e-02 1.648452105931937778e-02
6.599999999999999964e-03 1.625304284505545843e-02
1.409999999999999865e-01 1.152528301626443846e-01
1.780000000000000332e-02 2.569193800911307585e-02
6.300000000000002646e-03 9.554354548454283003e-03
2.190000000000000627e-02 2.173620779067277770e-02
3.200000000000001454e-03 6.437657433561981730e-03
6.860000000000002207e-02 6.919360019266605766e-02
2.500000000000001180e-02 1.759201880544424348e-02
7.300000000000002667e-03 9.542495356872678774e-03
4.400000000000002000e-03 9.012470754169046947e-04
1.226999999999999896e-01 8.460265867412089524e-02
7.830000000000000848e-02 3.496208162046968854e-02
1.737999999999999823e-01 1.178393099457025472e-01
1.310000000000000574e-02 3.038593000965193226e-03
8.100000000000001296e-03 5.128089474746957629e-03
4.300000000000000003e-03 8.326988145709039030e-03
3.600000000000001636e-03 4.257204631130662165e-04
2.760000000000001341e-02 3.895435614511370825e-02
5.200000000000001496e-03 6.343282847665250926e-03
8.600000000000001740e-03 1.841123110614716757e-02
9.800000000000003153e-03 3.377131607383489220e-02
2.600000000000000748e-03 4.464109805412589879e-03
2.890000000000001595e-02 1.066483528353273820e-02
3.400000000000001545e-03 3.275674039032310057e-03
1.270000000000000642e-02 4.199945405005852653e-06
6.600000000000003433e-03 5.508961644954979767e-03
8.200000000000003120e-02 8.926609359681605960e-02
8.200000000000002426e-03 9.568579811602830748e-03
0.000000000000000000e+00 8.306334703229365651e-03
2.210000000000000506e-02 4.737123455852271237e-02
5.640000000000002650e-02 2.627267325296998510e-02
2.280000000000000776e-02 3.031396711245178816e-02
2.030000000000000554e-02 2.816409522667527240e-02
1.920000000000000179e-02 1.065745783969759830e-02
3.600000000000000335e-03 1.169582715258002392e-02
2.560000000000000470e-02 4.847010992467403606e-02
9.660000000000003306e-02 9.090697512030601612e-02
2.450000000000000788e-02 3.053406488150358505e-02
4.700000000000001052e-03 6.671185404993594699e-03
5.000000000000001839e-03 9.341964554041621085e-03
3.020000000000001156e-02 3.887492785230280135e-02
6.640000000000001457e-02 2.603535886853933223e-02
6.670000000000000928e-02 7.427992525481386284e-03
6.700000000000001961e-03 1.453543947078287692e-02
3.890000000000000402e-02 2.985652694478630950e-02
3.080000000000001487e-02 3.881618373095988006e-02
1.131000000000000200e-01 5.982134830206633364e-02
4.560000000000001552e-02 4.596418309956789433e-02
2.240000000000000324e-02 3.212119268253445237e-02
2.010000000000000328e-02 1.580523427575826478e-02
8.200000000000002426e-03 6.864410522393883836e-03
1.890000000000000360e-02 3.020699035376309821e-02
6.500000000000003171e-03 8.476286539807916659e-03
4.500000000000001395e-03 6.534943669103085093e-03
2.800000000000001273e-03 3.811977102941933825e-09
1.720000000000000348e-02 4.221208244562148909e-02
2.040000000000000493e-02 2.272452104836702319e-02
1.820000000000000090e-02 6.655079327174462378e-03
5.600000000000002545e-03 6.396022527478635762e-03
2.060000000000000719e-02 2.624154018238187419e-02
1.734000000000000263e-01 7.477502472698691061e-02
1.840000000000000316e-02 3.828038461506366730e-02
6.520000000000003570e-02 3.715923152863979256e-02
8.300000000000000086e-03 7.227371670305729121e-03
5.200000000000001496e-03 6.181714697740972250e-03
2.920000000000001414e-02 1.861802630774036377e-03
1.191000000000000114e-01 7.735923044383526126e-02
4.420000000000001011e-02 3.300959287211298332e-02
1.780000000000000332e-02 2.961284425109624724e-02
3.970000000000000612e-02 2.251676739866575889e-13
2.134000000000000341e-01 1.316507073491811619e-01
1.400000000000000376e-02 1.016156520694494123e-02
1.150000000000000328e-02 1.361396258696913678e-02
8.300000000000003555e-03 8.823266671970485947e-03
1.910000000000000239e-02 1.899872521869837988e-02
4.950000000000002315e-02 6.487207986414431082e-02
2.206999999999999795e-01 1.264371051639318622e-01
1.694999999999999840e-01 1.144840141385793791e-01
2.310000000000000595e-02 3.342090176418423264e-02
5.200000000000001496e-03 9.039055001921951146e-03
2.700000000000001357e-02 4.781466249376535582e-02
4.900000000000002444e-03 7.081693164072930605e-03
6.520000000000000795e-02 2.883335307240485548e-02
1.980000000000000510e-02 1.179620421025901963e-02
3.900000000000001556e-03 1.115097181427700127e-03
1.290000000000000348e-02 1.060964944073930320e-02
1.500000000000000682e-03 1.855533628557705437e-10
9.570000000000003504e-02 2.930368745699524907e-02
1.430000000000000368e-02 1.669201685115695097e-02
1.560000000000000622e-02 9.663127155508847640e-03
7.300000000000003535e-03 7.753506191074848071e-03
1.680000000000000243e-02 1.395540423691272666e-02
8.600000000000001740e-03 3.869798536761662709e-03
1.850000000000000602e-02 2.803639879450202030e-02
4.800000000000002182e-03 1.431064835749566375e-02
1.100000000000000457e-02 9.615656114183366091e-03
9.400000000000002104e-03 9.687755107879638533e-03
6.500000000000001436e-03 1.107781172730028935e-02
2.240000000000000671e-02 1.273532280288591670e-04
1.266000000000000181e-01 1.028370847553014694e-01
1.570000000000000562e-02 3.941060231998562424e-02
9.500000000000003234e-03 1.061974627897143732e-02
2.070000000000000312e-02 4.109666213393211448e-02
1.070000000000000465e-02 8.411458180595105315e-08
1.060000000000000178e-02 5.677107991886033407e-04
1.434000000000000274e-01 1.056153727322816788e-01
3.690000000000000918e-02 4.455444319173694490e-02
1.520000000000000517e-02 4.089098360389471776e-02
1.479999999999999892e-02 2.836397834122180578e-02
1.590000000000000094e-02 1.564600734971463222e-02
3.280000000000000970e-02 6.266803402588862270e-14
3.690000000000000918e-02 3.818304572254418994e-02
2.650000000000001313e-02 2.957675631171241028e-03
3.600000000000001636e-03 5.619609025306999787e-03
1.800000000000000818e-03 4.797950065694748731e-03
1.600000000000000727e-03 8.648569048382341584e-03
2.010000000000000675e-02 1.521358609199524245e-02
6.100000000000002989e-03 7.492946768179535935e-03
3.800000000000000600e-02 4.310587979853152535e-02
9.300000000000000974e-03 1.018777064979076510e-02
3.100000000000001192e-03 1.243704936467111312e-02
8.300000000000001821e-02 8.625988103449344635e-02
6.750000000000003220e-02 7.022440150380133972e-02
4.800000000000002182e-03 5.604653479531407877e-03
1.350000000000000679e-02 5.910561161581426998e-03
1.180000000000000493e-02 2.261713843792676620e-02
1.740000000000000227e-02 2.561721039935946354e-02
1.050000000000000412e-02 7.360476083122194368e-03
1.000000000000000368e-02 1.389420613646507111e-02
6.200000000000002384e-03 7.060836637392639559e-03
1.870000000000000481e-02 3.285783141072897741e-03
7.900000000000002506e-03 8.947464581578971204e-03
1.060000000000000525e-01 9.518000677227973771e-02
2.250000000000000611e-02 1.805523888207972300e-02
9.410000000000003084e-02 3.883310234174132403e-02
3.280000000000000970e-02 3.035270472988486554e-02
7.800000000000001377e-03 9.712358573451639401e-03
1.230000000000000190e-02 9.334949320182202304e-03
1.360000000000000618e-02 1.873424803838133826e-02
1.510000000000000231e-02 3.575342759490014038e-02
1.200000000000000545e-02 2.876050271093845076e-02
1.360000000000000618e-02 1.162207665853202433e-02
8.100000000000003031e-03 2.192749887704849646e-02
1.187999999999999889e-01 1.196542742103338108e-01
6.800000000000000488e-03 1.788914757780730655e-02
1.541999999999999760e-01 1.475851449176843969e-03
2.000000000000000096e-04 2.047931288970517396e-04
2.170000000000000401e-02 1.254083569161594004e-02
4.600000000000001657e-03 3.287932331440970076e-03
5.910000000000002751e-02 5.795522563159465068e-02
9.900000000000002548e-03 1.015066084451973598e-02
1.400000000000000636e-03 7.602716516703367407e-03
3.960000000000001019e-02 6.826422947924582971e-03
1.470000000000000195e-01 1.038381551206111891e-01
2.600000000000001268e-02 4.275040473788976891e-02
4.160000000000001197e-02 2.517525952063060066e-05
8.200000000000002426e-03 9.603598844259977549e-03
2.540000000000001285e-02 2.707973975688219431e-02
2.200000000000000566e-02 2.736828321591019963e-02
9.600000000000002628e-03 2.716361147759016430e-03
9.800000000000001418e-03 5.414715112419798797e-03
9.700000000000003758e-03 9.172979146242142903e-03
1.470000000000000820e-02 1.102600843179971264e-02
6.100000000000002989e-03 1.994074803078547432e-03
1.120000000000000509e-02 1.374409889802336547e-02
8.400000000000002950e-03 1.130838552489876747e-02
5.800000000000002202e-03 9.437125246040524093e-03
1.530000000000000283e-02 1.310819181613624186e-02
9.500000000000003234e-03 6.056251417612656604e-03
3.860000000000000930e-02 1.774997715838253637e-02
9.100000000000002531e-02 9.099848732352254499e-02
7.900000000000002506e-03 6.092742681503294719e-03
3.520000000000000212e-02 3.680074309930204957e-02
2.350000000000000699e-02 5.567483102204277834e-03
1.240000000000000303e-02 1.791619354858994123e-02
4.600000000000001657e-03 8.489965600892901768e-03
1.790000000000000618e-02 2.153280436992645319e-02
7.900000000000002506e-03 5.568419171031564578e-03
3.030000000000001442e-02 3.467060882598162197e-02
1.020000000000000420e-02 1.569700936786830661e-02
1.080000000000000231e-02 2.813573008403181738e-02
5.200000000000001496e-03 1.265487386384123245e-04
1.980000000000000510e-02 3.027866953983903223e-02
6.500000000000003171e-03 6.982440765132197531e-03
1.880000000000000421e-02 1.930585482157767124e-02
9.700000000000003758e-03 1.229477093555033165e-02
1.627000000000000113e-01 1.091057255864143344e-01
2.710000000000001297e-02 3.782734351232647924e-02
2.990000000000001684e-02 2.418015690520405186e-02
1.070000000000000465e-02 1.721023482270538779e-02
1.700000000000000773e-03 7.986270971560573107e-05
1.140000000000000388e-02 1.905139282345771554e-02
3.100000000000001019e-02 3.608175572007894794e-02
7.300000000000002667e-03 1.473829500537249086e-03
1.960000000000000284e-02 2.681003510951995850e-02
1.240000000000000477e-02 1.471820739097893203e-02
5.640000000000002650e-02 3.004185515455902108e-02
5.850000000000003114e-02 2.692768372595309365e-02
3.300000000000000849e-03 5.083652900066226547e-03
8.100000000000001296e-03 8.584581161849198089e-03
4.600000000000001657e-03 9.512078696861860083e-03
1.550000000000000336e-02 1.213473397307098141e-02
5.500000000000002283e-03 1.207303865812718591e-02
1.100000000000000283e-02 1.459851299412548084e-02
2.200000000000000566e-02 2.966231314465403446e-02
1.380000000000000671e-02 1.944346118718385738e-02
1.810000000000000150e-02 2.972770059481262897e-02
1.500000000000000682e-03 8.476015883033482482e-05
9.400000000000002104e-03 1.825631262734532523e-02
8.200000000000000691e-03 9.148884685710073281e-03
3.500000000000001808e-03 8.488546395674348780e-03
1.619999999999999912e-02 2.109273400157690020e-02
1.430000000000000368e-02 1.759897775948048027e-02
1.469999999999999918e-01 1.017778777331113937e-01
1.100000000000000283e-03 8.230927498079836785e-03
4.710000000000001685e-02 4.734096474945544836e-02
1.970000000000000570e-02 1.583338757976889694e-02
7.700000000000002849e-03 7.517988304607569824e-03
1.728000000000000091e-01 1.069728562980890169e-01
6.300000000000002646e-03 1.859189078968484119e-03
5.480000000000002924e-02 1.565186313545963037e-05
3.400000000000001632e-02 3.987175345420836819e-02
1.410000000000000663e-02 3.174676733091472830e-02
2.480000000000000954e-02 2.895070850849151139e-02
6.800000000000003091e-03 7.661441448144614037e-03
5.400000000000002021e-03 4.105339824612259664e-09
3.690000000000000224e-02 2.460171497892588502e-02
1.103000000000000230e-01 1.027038908749818569e-01
8.100000000000001296e-03 7.477062474936245311e-03
9.010000000000002729e-02 4.973187236115336057e-02
1.600000000000000727e-03 6.169987570251579505e-04
2.270000000000000490e-02 1.823597450740635506e-02
8.000000000000003636e-03 6.205228865146636755e-03
9.700000000000002023e-03 1.474590077996253655e-02
6.750000000000003220e-02 3.474683893844485866e-02
2.190000000000000627e-02 1.883537595160305819e-02
1.020000000000000420e-02 9.155304986052215099e-03
1.580000000000000154e-02 1.060767526738345609e-02
2.480000000000000954e-02 4.026708994060754221e-02
2.450000000000001135e-02 2.152435963973403296e-02
2.480000000000000954e-02 3.783407006412745077e-02
8.500000000000004080e-03 1.576676545664667736e-02
8.500000000000000611e-03 6.936841639690100383e-03
9.500000000000001499e-03 1.851239385083317673e-02
4.600000000000000790e-03 8.029008340090513715e-03
1.231999999999999762e-01 7.469303309917449396e-02
7.100000000000003877e-03 1.228509109467267914e-02
1.750000000000000167e-02 1.730529231019318007e-02
1.000000000000000368e-02 7.037840634584425874e-03
3.640000000000000874e-02 3.749256286770104307e-02
4.500000000000001221e-02 5.320081584155560150e-02
3.369999999999999385e-02 3.993339383974672113e-02
2.290000000000000716e-02 6.509952085814064298e-05
1.200000000000000545e-02 9.138180157169698350e-03
2.440000000000000849e-02 9.697146820835767650e-03
2.280000000000000776e-02 3.115511065348983144e-02
2.980000000000001051e-02 3.850636100396513661e-02
7.300000000000002667e-03 1.502962226979434601e-02
4.200000000000001475e-03 5.871387966908515540e-03
1.673000000000000043e-01 1.093720614165067662e-01
2.400000000000001091e-02 2.098404489457606978e-02
3.700000000000000511e-02 3.541103327646852317e-02
1.700000000000000469e-02 1.099912599660456125e-02
1.630000000000000199e-02 1.127221821807325094e-02
5.100000000000002448e-02 9.768649860541244508e-04
4.800000000000001314e-03 1.214971978217363469e-02
1.080000000000000231e-02 1.172412544488906846e-02
2.500000000000000919e-03 1.113394806161522796e-02
7.440000000000002167e-02 4.465667839162051206e-02
1.050000000000000412e-02 9.137079538777469895e-03
3.000000000000001363e-03 4.233967213658615912e-03
9.800000000000003153e-03 2.288755441717427348e-03
3.430000000000001104e-02 2.494567099027335949e-02
1.630000000000000546e-02 2.724392550066113625e-02
3.380000000000001059e-02 5.000330746173858865e-02
9.930000000000002713e-02 3.831064943224192498e-02
2.170000000000000401e-02 1.881244031712413223e-02
3.700000000000001031e-03 4.161107786931098236e-03
6.230000000000002203e-02 3.162386223673820107e-02
1.100000000000000283e-02 2.089074030518531938e-02
1.330000000000000279e-02 1.931036038324237050e-02
7.500000000000004059e-03 5.853954064659773818e-03
6.500000000000003171e-03 1.641340693458915104e-02
8.200000000000002426e-03 2.662787866429425828e-03
6.300000000000001779e-03 7.107383329421282023e-03
2.540000000000001285e-02 3.660363836213946509e-02
1.750000000000000513e-02 1.119987227953970349e-02
9.600000000000004363e-03 7.601377898827194404e-03
2.311000000000000276e-01 1.488427741080522171e-01
1.380000000000000671e-02 2.422709546983242007e-02
7.800000000000001377e-03 6.039458727464080447e-03
4.630000000000001475e-02 3.042622625827788932e-02
2.140000000000000929e-02 1.310390608385204880e-02
2.200000000000000566e-02 2.268833588808774962e-02
7.000000000000001880e-03 7.981973928399383258e-03
1.231000000000000150e-01 9.993791386485099959e-02
2.510000000000001119e-02 2.677745088934898460e-02
5.300000000000000891e-03 1.001290001906454327e-02
5.000000000000001839e-03 5.953836538828909120e-03
2.023000000000000076e-01 1.103278623521327939e-01
1.568999999999999839e-01 1.082931420207023515e-01
7.300000000000002667e-03 9.613430313766001961e-03
4.400000000000002000e-03 1.642862396314739501e-02
1.480000000000000412e-02 1.213444899767636941e-02
1.142000000000000376e-01 5.919122334569693056e-02
2.207000000000000350e-01 1.256905292719602829e-01
1.710000000000000409e-02 2.128044491633773044e-02
1.340000000000000392e-02 6.193713452666998499e-03
1.710000000000000062e-02 4.016589827835560095e-02
4.500000000000000527e-03 1.611791404739494590e-09
1.910000000000000239e-02 2.233098154887556280e-02
4.400000000000001132e-03 8.359612682834267200e-03
1.107000000000000206e-01 6.968306686729192068e-02
1.365000000000000102e-01 1.068517679721117108e-01
3.390000000000000652e-02 3.429545823484658751e-02
5.000000000000001839e-03 6.219425122253596783e-03
2.190000000000000627e-02 4.634824961423873735e-02
2.110000000000000764e-02 4.145663170143962240e-02
3.710000000000000797e-02 4.191173939034342072e-02
8.100000000000001296e-03 8.583775470033288418e-03
1.374000000000000221e-01 8.395900234580039312e-02
4.440000000000000890e-02 5.123968463391065375e-02
2.290000000000000716e-02 2.593366027809679980e-02
3.090000000000001773e-02 3.840920522809028459e-02
4.700000000000001052e-03 7.050490253604947341e-03
8.600000000000001740e-03 5.721036591567098782e-03
2.150000000000000522e-02 1.971664305776357762e-02
7.200000000000000670e-03 1.010372167453169739e-02
1.980000000000000510e-02 2.493085505440831295e-02
1.854000000000000370e-01 1.173905939608812510e-01
2.550000000000001224e-02 2.010861441493034737e-02
7.000000000000003615e-03 6.717890459112823079e-03
7.700000000000000247e-03 2.539992682635784302e-02
2.270000000000000837e-02 3.815509593114255887e-02
2.120000000000000703e-02 2.415683286264538529e-02
1.210000000000000485e-02 1.161318024154752576e-02
3.400000000000001545e-03 4.950641812756657531e-03
4.500000000000001221e-02 6.275655234095483008e-04
9.800000000000001418e-03 7.489989990135656472e-03
3.650000000000001160e-02 4.103848906233906191e-02
2.310000000000000595e-02 3.029204500839113856e-02
2.800000000000001273e-03 5.858858793271790695e-04
2.760000000000001341e-02 4.880761940032243146e-02
1.620000000000000606e-02 4.395604185760021432e-02
1.780000000000000332e-02 1.103141670115292093e-02
3.750000000000000555e-02 1.991810059174895300e-02
3.300000000000001717e-03 1.553067200286761883e-04
4.500000000000001395e-03 1.808432119898497822e-02
1.000000000000000368e-02 8.793692570179699117e-03
1.090000000000000344e-02 1.013045357540249755e-02
1.756000000000000338e-01 1.194243849813938080e-01
1.130000000000000102e-02 1.279436515644192737e-02
2.350000000000001046e-02 3.140812026336789464e-02
3.900000000000001989e-03 8.186725028790533057e-03
7.000000000000001880e-03 8.406718336045740370e-03
1.910000000000000239e-02 3.282546693459154064e-02
1.710000000000000409e-02 2.361700013279914578e-02
1.688000000000000056e-01 1.024146913737058462e-01
8.200000000000004161e-03 7.048123972490429219e-03
3.960000000000001019e-02 3.777560692280530763e-02
1.360000000000000445e-02 3.284558268263935987e-02
2.340000000000000760e-02 2.180648523382842582e-02
5.400000000000002021e-03 9.311771788634359143e-03
9.070000000000003060e-02 1.062276113429106578e-02
4.899999999999999842e-03 7.880765045993030210e-03
6.910000000000002252e-02 7.507189117372035925e-02
1.120000000000000509e-02 8.440101561136541947e-03
3.080000000000001487e-02 1.993414618516320504e-06
1.020000000000000420e-02 1.957140973769128448e-02
1.600000000000000727e-03 6.893829605542122277e-03
3.000000000000001363e-03 1.153870585374533984e-02
1.600000000000000033e-02 7.366410107351839542e-03
1.010000000000000307e-02 3.324198327958584331e-02
7.300000000000003535e-03 1.658886635676026094e-02
5.000000000000001839e-03 6.040243143215775004e-03
5.680000000000003102e-02 5.331260363059300497e-03
3.900000000000000688e-02 1.807375465519726193e-02
7.900000000000001465e-02 8.888304062187671328e-02
1.859999999999999987e-01 1.268653793632983917e-01
1.280000000000000582e-02 1.709498209878802105e-02
1.440000000000000481e-02 1.631542204879224064e-02
5.300000000000001758e-03 1.649463981389999445e-02
8.000000000000001901e-03 3.768437156977598370e-03
1.260000000000000529e-02 7.251667771488427665e-03
1.760000000000000453e-02 2.578863754868507274e-02
2.000000000000000475e-03 4.532803271501960633e-04
7.800000000000003111e-03 3.611060341354459160e-03
9.840000000000002911e-02 9.849435016512869678e-02
